"","city","2019-12-13","2020-05-16","2020-09-21","2020-11-28","2021-01-26","2021-05-12","2021-07-29","2021-09-20","2021-12-14","2022-06-25","2022-10-05","2023-02-07","2023-10-05","2024-02-23","2024-08-12","2025-01-18","2025-10-18"
"56","Lemon Grove",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57","Loma Linda",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58","Lomita",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59","Malibu",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60","Mammoth Lakes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61","Mission Viejo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62","Monrovia",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63","Moorpark",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","Morro Bay",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","Needles",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66","Norwalk",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","Ojai",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68","Pacific Grove",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69","Palm Desert",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","Palos Verdes Estates",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71","Paramount",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72","Paso Robles",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"73","Pismo Beach",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74","Port Hueneme",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75","Poway",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76","Rancho Palos Verdes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","Rolling Hills",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"78","Rolling Hills Estates",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79","Rosemead",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80","San Clemente",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81","San Dimas",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"82","San Gabriel",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83","San Juan Capistrano",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84","San Luis Obispo",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85","San Marcos",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86","San Marino",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"87","Santa Clarita",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"88","Santa Fe Springs",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89","Santa Paula",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90","Seal Beach",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"91","Seaside",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92","Sierra Madre",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"93","Signal Hill",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"94","Solvang",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"95","South El Monte",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96","Stanton",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"97","Temple City",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98","Villa Park",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99","Vista",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100","Walnut",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","West Covina",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102","West Hollywood",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103","Westlake Village",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
